,cloud_cover,time,pressure_kpa,temperature_c,wind_direction,wind_speed_kmh,date,datetime,month,hour,type_of_day
0,3,2017-03-18 00:00:00,1011,14,307,2,2017-03-18,00:00:00,3,0,6
1,4,2017-03-18 01:00:00,1011,14,215,2,2017-03-18,01:00:00,3,1,6
2,4,2017-03-18 02:00:00,1011,14,123,1,2017-03-18,02:00:00,3,2,6
3,4,2017-03-18 03:00:00,1011,14,31,1,2017-03-18,03:00:00,3,3,6
4,4,2017-03-18 04:00:00,1011,14,138,1,2017-03-18,04:00:00,3,4,6
5,5,2017-03-18 05:00:00,1012,16,245,2,2017-03-18,05:00:00,3,5,6
6,5,2017-03-18 06:00:00,1012,16,352,2,2017-03-18,06:00:00,3,6,6
7,5,2017-03-18 07:00:00,1013,18,320,3,2017-03-18,07:00:00,3,7,6
8,5,2017-03-18 08:00:00,1013,18,288,3,2017-03-18,08:00:00,3,8,6
9,4,2017-03-18 09:00:00,1013,20,256,4,2017-03-18,09:00:00,3,9,6
10,4,2017-03-18 10:00:00,1012,20,263,7,2017-03-18,10:00:00,3,10,6
11,4,2017-03-18 11:00:00,1011,20,271,10,2017-03-18,11:00:00,3,11,6
12,4,2017-03-18 12:00:00,1011,20,278,13,2017-03-18,12:00:00,3,12,6
13,5,2017-03-18 13:00:00,1010,20,280,11,2017-03-18,13:00:00,3,13,6
14,5,2017-03-18 14:00:00,1010,20,283,10,2017-03-18,14:00:00,3,14,6
15,5,2017-03-18 15:00:00,1010,18,285,9,2017-03-18,15:00:00,3,15,6
16,5,2017-03-18 16:00:00,1010,18,284,9,2017-03-18,16:00:00,3,16,6
17,5,2017-03-18 17:00:00,1010,16,283,8,2017-03-18,17:00:00,3,17,6
18,5,2017-03-18 18:00:00,1011,14,283,8,2017-03-18,18:00:00,3,18,6
19,6,2017-03-18 19:00:00,1011,14,288,8,2017-03-18,19:00:00,3,19,6
20,6,2017-03-18 20:00:00,1011,14,293,7,2017-03-18,20:00:00,3,20,6
21,7,2017-03-18 21:00:00,1012,12,298,7,2017-03-18,21:00:00,3,21,6
22,7,2017-03-18 22:00:00,1011,12,317,6,2017-03-18,22:00:00,3,22,6
23,7,2017-03-18 23:00:00,1011,12,335,5,2017-03-18,23:00:00,3,23,6
24,7,2017-03-19 00:00:00,1010,12,354,4,2017-03-19,00:00:00,3,0,7
25,7,2017-03-19 01:00:00,1011,12,250,3,2017-03-19,01:00:00,3,1,7
26,6,2017-03-19 02:00:00,1011,10,147,3,2017-03-19,02:00:00,3,2,7
27,6,2017-03-19 03:00:00,1011,10,44,3,2017-03-19,03:00:00,3,3,7
28,6,2017-03-19 04:00:00,1011,12,36,3,2017-03-19,04:00:00,3,4,7
29,5,2017-03-19 05:00:00,1012,14,28,3,2017-03-19,05:00:00,3,5,7
