,Time,Load (kW),Pressure_kpa,Cloud Cover (%),Humidity (%),Temperature (C) ,Wind Direction (deg),Wind Speed (kmh)
0,2020-11-06 00:00:00,1022463.932,1011.0,36.5,71.58333333,14.84938622,313.125,10.43125
1,2020-11-06 01:00:00,1007171.432,1010.5,30.625,73.33333333,13.41438622,57.875,9.56375
2,2020-11-06 02:00:00,994545.932,1010.0,43.375,72.83333333,12.93188622,17.625,4.8775
3,2020-11-06 03:00:00,985150.432,1009.7375,51.5,72.66666667,12.67688622,24.875,4.4675
4,2020-11-06 04:00:00,983825.432,1009.7875,54.25,73.08333333,12.31938622,31.5,4.51625
5,2020-11-06 05:00:00,989451.932,1010.3,53.25,75.58333333,12.23188622,82.875,7.0425
6,2020-11-06 06:00:00,997967.932,1011.3625,46.875,73.66666667,11.05688622,65.0,6.33625
7,2020-11-06 07:00:00,1034230.932,1012.3,50.125,74.66666667,11.39938622,53.75,6.81
8,2020-11-06 08:00:00,1104298.932,1013.025,60.625,74.16666667,12.69188622,62.625,7.135
9,2020-11-06 09:00:00,1177793.932,1013.4875,34.375,71.0,15.62688622,24.875,10.515
10,2020-11-06 10:00:00,1222557.432,1013.4875,43.125,68.75,19.39188622,294.875,7.04875
11,2020-11-06 11:00:00,1245997.432,1012.85,45.625,68.16666667,21.29938622,335.25,8.28
12,2020-11-06 12:00:00,1241894.932,1011.75,48.875,67.16666667,22.41938622,261.25,11.46625
13,2020-11-06 13:00:00,1235846.432,1010.9375,55.375,67.58333333,22.97188622,296.25,14.5075
14,2020-11-06 14:00:00,1241854.932,1010.25,55.0,66.25,24.31438622,289.0,16.3975
15,2020-11-06 15:00:00,1235086.932,1009.675,54.625,66.75,24.04688622,297.5,19.91875
16,2020-11-06 16:00:00,1216027.932,1009.4125,55.25,67.33333333,22.56938622,301.0,19.19
17,2020-11-06 17:00:00,1187988.432,1009.775,48.0,68.5,20.40438622,319.0,15.08375
18,2020-11-06 18:00:00,1162516.932,1010.5875,18.25,69.75,17.91688622,321.875,11.47375
19,2020-11-06 19:00:00,1129570.932,1011.4,48.75,68.75,17.14938622,338.625,7.29875
20,2020-11-06 20:00:00,1103741.432,1012.1875,26.0,71.58333333,16.34688622,74.25,7.25
21,2020-11-06 21:00:00,1081531.432,1012.75,27.875,72.58333333,15.93688622,182.25,7.225
22,2020-11-06 22:00:00,1063212.432,1012.8875,29.75,74.08333333,14.57188622,28.625,8.18375
23,2020-11-06 23:00:00,1031718.932,1012.75,30.75,74.66666667,14.22188622,6.25,9.30625
24,2020-11-07 00:00:00,1017038.432,1012.4,15.5,77.83333333,12.84688622,21.625,4.24625
25,2020-11-07 01:00:00,1002246.432,1011.7125,10.75,76.33333333,12.34688622,142.375,3.2575
26,2020-11-07 02:00:00,989663.432,1011.3125,4.125,74.25,11.93188622,49.75,3.48125
27,2020-11-07 03:00:00,978924.932,1011.25,14.375,75.5,10.36188622,10.125,8.3875
28,2020-11-07 04:00:00,976382.932,1011.6875,20.875,75.33333333,10.19938622,25.125,9.5625
29,2020-11-07 05:00:00,985313.932,1012.0625,21.625,76.5,9.096886217,14.0,9.60125
30,2020-11-07 06:00:00,988791.932,1012.5125,33.125,75.41666667,9.116886217,26.75,8.0175
31,2020-11-07 07:00:00,1016284.432,1013.2875,44.5,76.16666667,9.641886217,61.625,7.29
32,2020-11-07 08:00:00,1064803.432,1013.9,44.75,75.5,11.06438622,21.5,3.85625
33,2020-11-07 09:00:00,1114689.932,1014.175,50.125,71.5,15.34938622,175.125,5.47875
34,2020-11-07 10:00:00,1152901.932,1013.7125,39.375,66.91666667,19.22438622,161.5,7.9075
35,2020-11-07 11:00:00,1165879.932,1013.1875,27.875,66.08333333,22.45438622,311.0,3.9575
36,2020-11-07 12:00:00,1159950.932,1012.2625,23.375,67.16666667,22.62438622,281.5,13.98875
37,2020-11-07 13:00:00,1151561.932,1011.5125,27.5,66.08333333,23.30688622,286.375,17.6225
38,2020-11-07 14:00:00,1153184.932,1010.8125,36.875,65.41666667,23.85938622,290.375,19.03875
39,2020-11-07 15:00:00,1158409.432,1010.2625,37.625,65.91666667,23.21438622,296.125,19.00625
40,2020-11-07 16:00:00,1155736.432,1010.275,35.75,66.66666667,22.61688622,303.125,18.2125
41,2020-11-07 17:00:00,1134759.932,1010.6,33.75,67.08333333,20.65688622,301.5,15.62875
42,2020-11-07 18:00:00,1135156.932,1011.125,31.625,68.91666667,18.56938622,297.625,12.0525
43,2020-11-07 19:00:00,1110550.432,1011.65,13.875,72.41666667,16.62688622,322.25,9.89375
44,2020-11-07 20:00:00,1094976.432,1012.2875,6.25,78.33333333,14.48938622,329.75,8.52
45,2020-11-07 21:00:00,1070053.432,1012.75,4.375,79.08333333,14.05688622,333.0,8.97625
46,2020-11-07 22:00:00,1052869.932,1013.2375,4.0,79.25,13.78688622,134.0,9.6325
47,2020-11-07 23:00:00,1026863.932,1013.0,3.375,81.16666667,12.33688622,307.125,9.51375
48,2020-11-08 00:00:00,1015758.432,1012.5125,2.0,82.5,10.77438622,80.5,6.20625
49,2020-11-08 01:00:00,1003881.932,1011.7875,1.375,83.5,10.42438622,18.5,5.1725
50,2020-11-08 02:00:00,986304.432,1011.4375,1.125,83.83333333,9.951886217,70.5,1.9575
51,2020-11-08 03:00:00,976547.932,1011.2625,1.0,80.5,9.281886217,99.625,7.36125
52,2020-11-08 04:00:00,970280.932,1011.3375,1.0,82.91666667,8.041886217,112.625,5.00125
53,2020-11-08 05:00:00,970321.432,1011.775,2.0,82.91666667,8.376886217,132.0,8.88625
54,2020-11-08 06:00:00,966618.432,1012.525,4.25,80.91666667,9.126886217,114.375,7.57
55,2020-11-08 07:00:00,969853.932,1013.6125,9.25,80.16666667,9.944386217,102.875,7.2025
56,2020-11-08 08:00:00,990515.932,1014.25,16.125,80.25,11.34188622,45.625,6.60875
57,2020-11-08 09:00:00,1014287.432,1014.525,15.25,74.91666667,15.24438622,61.0,2.815
58,2020-11-08 10:00:00,1037113.432,1014.4875,12.625,68.41666667,21.17688622,278.5,0.12625
59,2020-11-08 11:00:00,1054035.432,1013.9,9.375,66.16666667,23.72688622,158.625,5.39
60,2020-11-08 12:00:00,1060261.932,1012.925,6.0,66.08333333,24.98188622,98.25,10.74
61,2020-11-08 13:00:00,1058902.432,1011.8125,10.0,71.25,21.84188622,273.0,19.8
62,2020-11-08 14:00:00,1060809.432,1011.2125,10.75,69.91666667,21.98438622,257.25,20.60625
63,2020-11-08 15:00:00,1059042.932,1011.1,11.75,72.25,20.26938622,273.625,17.735
64,2020-11-08 16:00:00,1051706.432,1011.5,1.5,72.08333333,21.10438622,299.875,16.9875
65,2020-11-08 17:00:00,1047582.932,1011.9375,0.125,72.91666667,19.15188622,308.875,15.0075
66,2020-11-08 18:00:00,1063918.432,1012.4625,2.125,74.41666667,17.09688622,319.375,10.38
67,2020-11-08 19:00:00,1065192.932,1013.1625,2.0,76.75,15.69688622,327.125,10.10375
68,2020-11-08 20:00:00,1057011.432,1013.5875,2.0,77.0,15.30688622,344.125,8.3475
69,2020-11-08 21:00:00,1039277.432,1013.85,2.0,76.83333333,14.04688622,59.5,6.75125
70,2020-11-08 22:00:00,1026584.932,1013.9125,1.375,75.66666667,13.62188622,62.375,1.86
71,2020-11-08 23:00:00,1002553.932,1013.6,0.875,75.83333333,13.19438622,72.625,1.1425
72,2020-11-09 00:00:00,993528.432,1013.2375,0.75,79.33333333,11.52438622,52.25,1.4525
73,2020-11-09 01:00:00,980037.932,1013.05,4.0,79.41666667,10.11688622,27.375,1.71125
74,2020-11-09 02:00:00,967499.932,1012.7375,8.125,79.33333333,9.764386217,20.875,1.7575
75,2020-11-09 03:00:00,961864.932,1012.6,11.875,81.08333333,9.251886217,19.5,6.00375
76,2020-11-09 04:00:00,956669.932,1012.6375,11.875,83.08333333,6.679386217,18.25,2.3425
77,2020-11-09 05:00:00,961802.432,1012.475,11.0,84.66666667,6.254386217,29.125,1.9275
78,2020-11-09 06:00:00,976310.432,1013.1875,9.625,84.58333333,6.409386217,106.0,6.61625
79,2020-11-09 07:00:00,1018500.432,1013.9625,12.5,83.66666667,6.956886217,83.125,3.4575
80,2020-11-09 08:00:00,1098868.432,1014.575,15.625,81.41666667,8.689386217,104.5,6.80125
81,2020-11-09 09:00:00,1175087.932,1015.0875,12.625,71.25,15.78188622,265.875,1.29875
82,2020-11-09 10:00:00,1226441.432,1015.1375,10.75,67.16666667,20.23938622,179.375,4.1025
83,2020-11-09 11:00:00,1242696.932,1014.55,13.5,62.58333333,22.32938622,251.0,2.14
84,2020-11-09 12:00:00,1232841.432,1013.625,4.375,58.75,24.22188622,293.0,9.1725
85,2020-11-09 13:00:00,1220076.432,1012.6625,1.25,58.25,24.01938622,286.5,18.88
86,2020-11-09 14:00:00,1215726.932,1011.9125,1.0,53.75,23.66188622,296.625,18.73375
87,2020-11-09 15:00:00,1205188.932,1011.55,1.0,52.66666667,22.94688622,306.75,21.41125
88,2020-11-09 16:00:00,1195185.432,1011.45,1.5,52.41666667,22.28188622,320.0,19.44625
89,2020-11-09 17:00:00,1165062.432,1011.7125,1.0,53.66666667,20.43688622,316.75,17.0575
90,2020-11-09 18:00:00,1146091.432,1012.2625,1.0,58.0,17.06188622,312.0,14.25375
91,2020-11-09 19:00:00,1113034.932,1012.8875,0.125,62.83333333,15.42188622,324.125,10.19625
92,2020-11-09 20:00:00,1087367.432,1013.4875,0.0,66.5,15.02938622,328.375,10.9925
93,2020-11-09 21:00:00,1065782.932,1013.7875,0.0,71.08333333,13.79438622,338.0,9.14875
94,2020-11-09 22:00:00,1046541.432,1013.7625,0.0,73.41666667,13.44938622,50.5,8.77625
95,2020-11-09 23:00:00,1012047.932,1014.0125,1.625,75.41666667,11.93688622,35.875,8.825
96,2020-11-10 00:00:00,996958.432,1013.2125,14.5,74.83333333,11.21688622,318.125,7.41375
97,2020-11-10 01:00:00,983561.432,1013.1375,23.625,75.83333333,11.01938622,45.0,7.34375
98,2020-11-10 02:00:00,973302.932,1012.8375,20.5,78.25,9.539386217,13.25,6.93875
99,2020-11-10 03:00:00,965869.432,1012.5625,28.125,81.75,7.809386217,62.625,4.48375
100,2020-11-10 04:00:00,966765.932,1012.1875,36.5,80.58333333,7.409386217,357.0,10.6575
101,2020-11-10 05:00:00,971190.432,1012.0625,45.625,80.25,7.219386217,55.75,7.76875
102,2020-11-10 06:00:00,982604.932,1013.0125,58.75,80.25,6.541886217,51.75,4.45625
103,2020-11-10 07:00:00,1022524.932,1014.1375,48.75,76.08333333,8.301886217,53.0,8.38625
104,2020-11-10 08:00:00,1095418.432,1014.475,61.5,75.33333333,8.951886217,60.75,3.14875
105,2020-11-10 09:00:00,1163512.432,1014.4375,51.0,69.08333333,13.51938622,55.0,6.35375
106,2020-11-10 10:00:00,1201648.932,1013.875,50.75,61.5,19.65938622,141.5,2.11125
107,2020-11-10 11:00:00,1217625.432,1013.375,69.875,62.75,21.18438622,282.5,4.00875
108,2020-11-10 12:00:00,1215324.932,1012.35,44.375,63.33333333,20.84438622,281.875,12.05125
109,2020-11-10 13:00:00,1204348.932,1011.1125,14.75,63.5,21.86188622,264.125,14.8975
110,2020-11-10 14:00:00,1208890.432,1010.25,0.875,63.33333333,22.16938622,261.875,18.37875
111,2020-11-10 15:00:00,1211818.432,1009.875,7.5,65.33333333,21.08438622,263.375,18.3625
112,2020-11-10 16:00:00,1204369.432,1009.9,24.625,65.58333333,19.11438622,279.625,17.3725
113,2020-11-10 17:00:00,1182395.432,1010.15,42.75,66.75,18.49188622,289.375,13.01875
114,2020-11-10 18:00:00,1164129.932,1010.8875,57.125,64.41666667,16.71438622,305.5,10.0725
115,2020-11-10 19:00:00,1124765.932,1012.0125,37.0,61.41666667,16.04688622,320.875,6.90125
116,2020-11-10 20:00:00,1096210.432,1012.6,41.125,69.83333333,15.05438622,322.25,5.99375
117,2020-11-10 21:00:00,1078443.432,1012.75,46.0,70.66666667,15.10438622,322.0,7.19375
118,2020-11-10 22:00:00,1059329.932,1012.3875,50.375,70.66666667,15.02938622,48.0,3.7
119,2020-11-10 23:00:00,1035697.432,1012.1875,57.75,72.0,13.81938622,51.5,7.99125
120,2020-11-11 00:00:00,1017021.432,1011.55,67.625,72.16666667,13.86688622,61.5,3.38625
121,2020-11-11 01:00:00,1002644.932,1010.9375,73.625,73.41666667,12.68188622,32.125,3.535
122,2020-11-11 02:00:00,987885.432,1010.5,72.625,76.41666667,12.05438622,48.25,3.01375
123,2020-11-11 03:00:00,978924.932,1010.4625,62.0,78.41666667,10.46438622,61.875,2.32875
124,2020-11-11 04:00:00,979439.932,1011.075,43.0,76.91666667,11.32188622,32.875,4.90875
125,2020-11-11 05:00:00,983683.432,1011.3625,40.25,75.58333333,11.25188622,27.0,6.55125
126,2020-11-11 06:00:00,993227.432,1012.0125,37.875,78.0,10.41688622,63.25,2.88125
127,2020-11-11 07:00:00,1036204.932,1012.725,47.25,77.58333333,10.80688622,57.0,8.01125
128,2020-11-11 08:00:00,1106853.432,1013.1,53.875,77.08333333,11.00938622,95.875,7.03875
129,2020-11-11 09:00:00,1183503.932,1013.2125,99.375,73.75,13.93688622,132.875,0.8775
130,2020-11-11 10:00:00,1223624.432,1013.1625,99.625,67.16666667,19.69438622,159.25,0.53
131,2020-11-11 11:00:00,1233866.932,1012.675,99.625,63.83333333,21.39438622,169.0,2.8275
132,2020-11-11 12:00:00,1227818.432,1012.1875,98.5,60.66666667,23.23438622,223.625,9.38625
133,2020-11-11 13:00:00,1219095.932,1011.3,98.625,59.58333333,24.44938622,273.0,9.52125
134,2020-11-11 14:00:00,1226015.432,1010.65,96.25,66.41666667,22.65438622,269.0,17.1125
135,2020-11-11 15:00:00,1218083.432,1010.15,92.375,69.33333333,19.67438622,268.5,17.29625
136,2020-11-11 16:00:00,1211129.432,1010.0,86.125,70.0,18.94688622,319.875,17.0225
137,2020-11-11 17:00:00,1183986.432,1010.2125,71.625,68.25,18.55438622,298.25,14.77875
