,temperature_celcius ,pressure_KPA,clouds_perc (%),Direction of the Wind(deg),wind speed,time,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,15.72188622,1011.0,20.0,13.0,12.0,2020-11-06 00:00:00,,,,
1,15.72188622,1011.0,22.0,14.0,12.0,2020-11-06 01:00:00,,,,
2,15.72188622,1011.0,24.0,15.0,12.0,2020-11-06 02:00:00,,,,
3,15.72188622,1010.0,25.0,16.0,11.0,2020-11-06 03:00:00,,,,
4,15.72188622,1010.0,26.0,17.0,11.0,2020-11-06 04:00:00,,,,
5,15.72188622,1011.0,26.0,17.0,11.0,2020-11-06 05:00:00,,,,
6,15.72188622,1011.0,27.0,17.0,10.0,2020-11-06 06:00:00,,,,
7,15.72188622,1012.0,26.0,53.0,9.0,2020-11-06 07:00:00,,,,
8,15.72188622,1012.0,26.0,90.0,8.0,2020-11-06 08:00:00,,,,
9,17.72188622,1013.0,26.0,126.0,7.0,2020-11-06 09:00:00,,,,
10,17.72188622,1012.0,27.0,193.0,8.0,2020-11-06 10:00:00,,,,
11,19.72188622,1012.0,27.0,260.0,8.0,2020-11-06 11:00:00,,,,
12,19.72188622,1012.0,27.0,328.0,9.0,2020-11-06 12:00:00,,,,
13,19.72188622,1011.0,24.0,324.0,11.0,2020-11-06 13:00:00,,,,
14,19.72188622,1010.0,21.0,320.0,14.0,2020-11-06 14:00:00,,,,
15,17.72188622,1010.0,18.0,317.0,16.0,2020-11-06 15:00:00,,,,
16,17.72188622,1010.0,17.0,322.0,16.0,2020-11-06 16:00:00,,,,
17,17.72188622,1010.0,16.0,327.0,15.0,2020-11-06 17:00:00,,,,
18,17.72188622,1010.0,15.0,333.0,14.0,2020-11-06 18:00:00,,,,
19,17.72188622,1011.0,14.0,300.0,13.0,2020-11-06 19:00:00,,,,
20,17.72188622,1012.0,13.0,267.0,12.0,2020-11-06 20:00:00,,,,
21,17.72188622,1012.0,13.0,234.0,11.0,2020-11-06 21:00:00,,,,
22,13.72188622,1012.0,11.0,164.0,10.0,2020-11-06 22:00:00,,,,
23,9.721886217,1012.0,10.0,93.0,9.0,2020-11-06 23:00:00,,,,
