Time,Load (kW),Pressure_kpa,Cloud Cover (%),Humidity (%),Temperature (C),Wind Direction (deg),Wind Speed (kmh)
17/2/2021 8:00,993843.43,1014.53,7.25,70.42,4.39,61.63,3.34
17/2/2021 9:00,1022724.93,1014.96,5.88,65.92,8.37,73.75,7.34
17/2/2021 10:00,1046057.43,1015.10,3.63,60.08,15.27,111.25,5.75
17/2/2021 11:00,1059846.43,1014.83,1.38,56.08,19.24,34.38,9.34
17/2/2021 12:00,1062641.93,1013.99,0.13,53.92,23.51,59.75,9.84
17/2/2021 13:00,1057551.43,1012.85,0,57.42,22.51,274.38,10.46
17/2/2021 14:00,1050042.43,1012.04,0,60.42,20.62,269.63,19.00
17/2/2021 15:00,1043467.43,1011.51,0.88,60.83,19.87,280,22.48
17/2/2021 16:00,1040293.43,1011.31,1.50,61.25,19.68,299.75,19.70
17/2/2021 17:00,1037830.43,1011.43,0.13,65.08,16.48,300,18.14
17/2/2021 18:00,1050997.93,1012.18,0,66.83,13.94,322.38,13.93
17/2/2021 19:00,1056883.93,1012.91,0,68.08,13.41,319.38,11.80
17/2/2021 20:00,1047564.43,1013.79,0,68.08,11.80,347.88,13.49
17/2/2021 21:00,1032530.93,1014.31,0,64.50,11.49,73.63,9.96
17/2/2021 22:00,1013138.93,1014.71,0.13,63.42,11.42,22.13,6.44
17/2/2021 23:00,987965.93,1014.40,2.75,71.08,9.16,180.13,7.79
18/2/2021 0:00,973915.43,1013.85,10.25,74.42,7.56,46.13,3.81
18/2/2021 1:00,961728.93,1013.50,10.50,74.58,7.42,39.50,3.09
18/2/2021 2:00,954980.43,1013.11,8.88,74.67,7.19,43.75,2.91
18/2/2021 3:00,953112.43,1012.81,12,74.67,6.70,39.50,3.31
18/2/2021 4:00,953025.43,1012.78,15.75,70.58,6.35,73.13,7.44
18/2/2021 5:00,960618.43,1013.14,13.88,70.42,6.06,67.38,3.48
18/2/2021 6:00,984073.93,1013.81,8.25,69.50,7.04,72.63,3.02
18/2/2021 7:00,1035435.43,1014.71,6.88,72.17,6.24,69.88,3.51
18/2/2021 8:00,1123151.43,1015.65,21.50,63.33,11.13,83.75,11.09
18/2/2021 9:00,1196635.93,1016.35,22.75,59.67,16.30,111.50,2.49
18/2/2021 10:00,1239865.93,1016.75,22.75,55.83,21.16,99.50,9.34
18/2/2021 11:00,1250477.93,1016.30,22.50,54.33,23.66,84.75,12.68
18/2/2021 12:00,1246598.43,1015.33,27,51,25.25,42.25,14.45
18/2/2021 13:00,1236429.43,1014.30,27,50.17,26.66,89.50,16.18
18/2/2021 14:00,1242167.43,1013.30,19.25,49,26.36,36.50,16.30
18/2/2021 15:00,1238717.93,1012.80,10.50,48.33,26.48,212.50,7.98
18/2/2021 16:00,1227064.43,1012.58,3.75,47.33,27.32,338.25,4.61
18/2/2021 17:00,1208425.43,1012.60,11.50,56.50,23.15,277.25,12.02
18/2/2021 18:00,1180206.43,1013.03,8.75,69.17,16.95,295.50,13.62
18/2/2021 19:00,1148609.93,1013.88,8,68.33,15.37,325,11.92
18/2/2021 20:00,1114182.93,1014.45,16.50,69.33,13.66,178,8.87
18/2/2021 21:00,1083262.43,1015,25,71.50,12.18,333,9.18
18/2/2021 22:00,1040727.93,1014.93,28.50,72.17,11.96,47.75,6.07
18/2/2021 23:00,1007199.43,1014.85,27.25,69.50,11.97,349.50,9.57
19/2/2021 00:00,1006014.43,1014.53,34.50,69,10.50,310,7.34
19/2/2021 1:00,991381.43,1013.88,37.75,72,8.95,74.75,1.92
19/2/2021 2:00,979452.93,1013.45,26.25,70.17,8.69,63.50,2.21
19/2/2021 3:00,972410.43,1013.15,23,71.67,8.29,58.50,2.28
19/2/2021 4:00,970908.93,1013.03,25,78.33,5.31,45.75,2.77
19/2/2021 5:00,981331.43,1013.08,25.75,78,6.21,71.75,6.76
19/2/2021 6:00,999698.93,1013.63,25.75,76.67,5.99,42,3.92
19/2/2021 7:00,1047699.93,1014.33,24,77.67,4.89,70.50,3.80
