Temperature (C) ,Pressure_kpa,Cloud Cover (%),Wind Direction (deg),Wind Speed (kmh),Time
8.37188622,1014.9625,5.875,73.75,7.3425,18/1/21 8:00
15.2743862,1015.1,3.625,111.25,5.75375,18/1/21 9:00
19.2418862,1014.825,-1,34.375,9.3425,18/1/21 10:00
23.5093862,1013.9875,0.125,59.75,9.8375,18/1/21 11:00
22.5068862,1012.85,0,274.375,10.46,18/1/21 12:00
20.6243862,1012.0375,0,269.625,19.00375,18/1/21 13:00
19.6793862,1011.3125,1.5,299.75,19.6975,18/1/21 14:00
16.4818862,1011.425,0.125,300,18.13875,18/1/21 15:00
13.9418862,1012.175,0,322.375,13.93,18/1/21 16:00
13.4093862,1012.9125,0,319.375,11.8025,18/1/21 17:00
11.8018862,1013.7875,0,347.875,13.48625,18/1/21 18:00
11.4943862,1014.3125,0,73.625,9.96,18/1/21 19:00
11.4243862,1014.7125,-2,22.125,6.43625,18/1/21 20:00
9.15688622,1014.4,2.75,180.125,7.7875,18/1/21 21:00
7.55688622,1013.85,10.25,46.125,3.805,18/1/21 22:00
7.42188622,1013.5,10.5,39.5,3.09125,18/1/21 23:00
7.18938622,1013.1125,8.875,43.75,2.9075,19/1/21 0:00
6.34688622,1012.775,15.75,73.125,7.43875,19/1/21 1:00
6.06188622,1013.1375,13.875,67.375,3.47875,19/1/21 2:00
7.04438622,1013.8125,8.25,72.625,3.015,19/1/21 3:00
15.7218862174512,1013,0,31,8,19/1/21 4:00
15.7218862174512,1013,0,37,6,19/1/21 5:00
17.7218862174512,1013,0,65,6,19/1/21 6:00
19.7218862174512,1012,0,93,6,19/1/21 7:00
15.72188622,1016,4,84,11,19/1/2021 8:00
15.72188622,1016,4,92,11,19/1/2021 9:00
17.72188622,1016,3,120,10,19/1/2021 10:00
19.72188622,1015,3,149,10,19/1/2021 11:00
23.72188622,1015,3,178,9,19/1/2021 12:00
23.72188622,1014,3,222,10,19/1/2021 13:00
23.72188622,1014,3,265,11,19/1/2021 14:00
23.72188622,1013,3,309,12,19/1/2021 15:00
21.72188622,1013,4,314,13,19/1/2021 16:00
19.72188622,1013,4,320,15,19/1/2021 17:00
19.72188622,1013,4,325,17,19/1/2021 18:00
17.72188622,1013,5,293,15,19/1/2021 19:00
17.72188622,1013,6,262,14,19/1/2021 20:00
15.72188622,1014,7,230,13,19/1/2021 21:00
13.72188622,1014,5,161,11,19/1/2021 22:00
13.72188622,1014,4,91,10,19/1/2021 23:00
11.72188622,1014,3,22,9,20/1/2021 0:00
11.72188622,1014,4,28,8,20/1/2021 1:00
13.72188622,1013,5,33,8,20/1/2021 2:00
13.72188622,1013,5,39,7,20/1/2021 3:00
13.72188622,1013,6,40,7,20/1/2021 4:00
13.72188622,1013,6,41,8,20/1/2021 5:00
11.72188622,1014,6,43,9,20/1/2021 6:00
13.72188622,1014,7,48,8,20/1/2021 7:00
