Time,Load (kW),Pressure_kpa,Cloud Cover (%),Humidity (%),Temperature (C),Wind Direction (deg),Wind Speed (kmh)
17/1/2021 8:00,993843.43,1014.53,7.25,70.42,4.39,61.63,3.34
17/1/2021 9:00,1022724.93,1014.96,5.88,65.92,8.37,73.75,7.34
17/1/2021 10:00,1046057.43,1015.10,3.63,60.08,15.27,111.25,5.75
17/1/2021 11:00,1059846.43,1014.83,1.38,56.08,19.24,34.38,9.34
17/1/2021 12:00,1062641.93,1013.99,0.13,53.92,23.51,59.75,9.84
17/1/2021 13:00,1057551.43,1012.85,0,57.42,22.51,274.38,10.46
17/1/2021 14:00,1050042.43,1012.04,0,60.42,20.62,269.63,19.00
17/1/2021 15:00,1043467.43,1011.51,0.88,60.83,19.87,280,22.48
17/1/2021 16:00,1040293.43,1011.31,1.50,61.25,19.68,299.75,19.70
17/1/2021 17:00,1037830.43,1011.43,0.13,65.08,16.48,300,18.14
17/1/2021 18:00,1050997.93,1012.18,0,66.83,13.94,322.38,13.93
17/1/2021 19:00,1056883.93,1012.91,0,68.08,13.41,319.38,11.80
17/1/2021 8:00,993843.43,1014.53,7.25,70.42,4.39,61.63,3.34
17/1/2021 9:00,1022724.93,1014.96,5.88,65.92,8.37,73.75,7.34
17/1/2021 10:00,1046057.43,1015.10,3.63,60.08,15.27,111.25,5.75
17/1/2021 11:00,1059846.43,1014.83,1.38,56.08,19.24,34.38,9.34
17/1/2021 12:00,1062641.93,1013.99,0.13,53.92,23.51,59.75,9.84
17/1/2021 13:00,1057551.43,1012.85,0,57.42,22.51,274.38,10.46
17/1/2021 14:00,1050042.43,1012.04,0,60.42,20.62,269.63,19.00
17/1/2021 15:00,1043467.43,1011.51,0.88,60.83,19.87,280,22.48
17/1/2021 16:00,1040293.43,1011.31,1.50,61.25,19.68,299.75,19.70
17/1/2021 17:00,1037830.43,1011.43,0.13,65.08,16.48,300,18.14
17/1/2021 18:00,1050997.93,1012.18,0,66.83,13.94,322.38,13.93
17/1/2021 19:00,1056883.93,1012.91,0,68.08,13.41,319.38,11.80
