Time,Pressure_kpa,Cloud Cover (%),Humidity (%),Temperature (C) ,Wind Direction (deg),Wind Speed (kmh)
15/1/2021 9:00,1014.9625,5.875,65.9166667,8.37188622,73.75,7.3425
15/1/2021 10:00,1015.1,3.625,60.0833333,15.2743862,111.25,5.75375
15/1/2021 11:00,1014.825,-1,56.0833333,19.2418862,34.375,9.3425
15/1/2021 12:00,1013.9875,0.125,53.9166667,23.5093862,59.75,9.8375
15/1/2021 13:00,1012.85,0,57.4166667,22.5068862,274.375,10.46
15/1/2021 14:00,1012.0375,0,60.4166667,20.6243862,269.625,19.00375
15/1/2021 16:00,1011.3125,1.5,61.25,19.6793862,299.75,19.6975
15/1/2021 17:00,1011.425,0.125,65.0833333,16.4818862,300,18.13875
15/1/2021 18:00,1012.175,0,66.8333333,13.9418862,322.375,13.93
15/1/2021 19:00,1012.9125,0,68.0833333,13.4093862,319.375,11.8025
15/1/2021 20:00,1013.7875,0,68.0833333,11.8018862,347.875,13.48625
15/1/2021 21:00,1014.3125,0,64.5,11.4943862,73.625,9.96
15/1/2021 22:00,1014.7125,-2,63.4166667,11.4243862,22.125,6.43625
15/1/2021 23:00,1014.4,2.75,71.0833333,9.15688622,180.125,7.7875
16/1/2021 0:00,1013.85,10.25,74.4166667,7.55688622,46.125,3.805
16/1/2021 1:00,1013.5,10.5,74.5833333,7.42188622,39.5,3.09125
16/1/2021 2:00,1013.1125,8.875,74.6666667,7.18938622,43.75,2.9075
16/1/2021 4:00,1012.775,15.75,70.5833333,6.34688622,73.125,7.43875
16/1/2021 5:00,1013.1375,13.875,70.4166667,6.06188622,67.375,3.47875
16/1/2021 6:00,1013.8125,8.25,69.5,7.04438622,72.625,3.015
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
