,cloud_cover,time,pressure_kpa,temperature_c,wind_direction,wind_speed_kmh,date,datetime,month,hour,type_of_day
25896,0.0,2020-03-01 00:00:00,1011.0,10.0,36.0,8.0,2020-03-01,00:00:00,3,0,7
25897,1.0,2020-03-01 01:00:00,1011.0,12.0,40.0,8.0,2020-03-01,01:00:00,3,1,7
25898,2.0,2020-03-01 02:00:00,1010.0,12.0,43.0,8.0,2020-03-01,02:00:00,3,2,7
25899,2.0,2020-03-01 03:00:00,1010.0,14.0,47.0,8.0,2020-03-01,03:00:00,3,3,7
25900,5.0,2020-03-01 04:00:00,1010.0,14.0,45.0,8.0,2020-03-01,04:00:00,3,4,7
25901,8.0,2020-03-01 05:00:00,1010.0,12.0,43.0,8.0,2020-03-01,05:00:00,3,5,7
25902,11.0,2020-03-01 06:00:00,1011.0,10.0,41.0,8.0,2020-03-01,06:00:00,3,6,7
25903,12.0,2020-03-01 07:00:00,1011.0,12.0,43.0,8.0,2020-03-01,07:00:00,3,7,7
25904,13.0,2020-03-01 08:00:00,1012.0,14.0,46.0,8.0,2020-03-01,08:00:00,3,8,7
25905,14.0,2020-03-01 09:00:00,1013.0,16.0,49.0,8.0,2020-03-01,09:00:00,3,9,7
25906,11.0,2020-03-01 10:00:00,1012.0,18.0,73.0,9.0,2020-03-01,10:00:00,3,10,7
25907,8.0,2020-03-01 11:00:00,1012.0,20.0,98.0,9.0,2020-03-01,11:00:00,3,11,7
25908,5.0,2020-03-01 12:00:00,1012.0,22.0,122.0,10.0,2020-03-01,12:00:00,3,12,7
25909,5.0,2020-03-01 13:00:00,1011.0,22.0,180.0,14.0,2020-03-01,13:00:00,3,13,7
25910,5.0,2020-03-01 14:00:00,1010.0,20.0,239.0,17.0,2020-03-01,14:00:00,3,14,7
25911,5.0,2020-03-01 15:00:00,1009.0,20.0,297.0,21.0,2020-03-01,15:00:00,3,15,7
25912,9.0,2020-03-01 16:00:00,1009.0,20.0,306.0,20.0,2020-03-01,16:00:00,3,16,7
25913,13.0,2020-03-01 17:00:00,1009.0,18.0,315.0,19.0,2020-03-01,17:00:00,3,17,7
25914,17.0,2020-03-01 18:00:00,1009.0,18.0,325.0,18.0,2020-03-01,18:00:00,3,18,7
25915,21.0,2020-03-01 19:00:00,1010.0,16.0,305.0,15.0,2020-03-01,19:00:00,3,19,7
25916,24.0,2020-03-01 20:00:00,1010.0,16.0,285.0,12.0,2020-03-01,20:00:00,3,20,7
25917,27.0,2020-03-01 21:00:00,1011.0,14.0,265.0,9.0,2020-03-01,21:00:00,3,21,7
25918,20.0,2020-03-01 22:00:00,1011.0,14.0,209.0,8.0,2020-03-01,22:00:00,3,22,7
25919,12.0,2020-03-01 23:00:00,1011.0,14.0,152.0,6.0,2020-03-01,23:00:00,3,23,7
25920,4.0,2020-03-02 00:00:00,1011.0,12.0,96.0,5.0,2020-03-02,00:00:00,3,0,1
25921,4.0,2020-03-02 01:00:00,1011.0,14.0,103.0,6.0,2020-03-02,01:00:00,3,1,1
25922,4.0,2020-03-02 02:00:00,1010.0,16.0,111.0,6.0,2020-03-02,02:00:00,3,2,1
25923,4.0,2020-03-02 03:00:00,1010.0,16.0,118.0,7.0,2020-03-02,03:00:00,3,3,1
25924,5.0,2020-03-02 04:00:00,1010.0,16.0,112.0,7.0,2020-03-02,04:00:00,3,4,1
25925,5.0,2020-03-02 05:00:00,1010.0,16.0,105.0,8.0,2020-03-02,05:00:00,3,5,1
25926,5.0,2020-03-02 06:00:00,1010.0,16.0,99.0,8.0,2020-03-02,06:00:00,3,6,1
25927,6.0,2020-03-02 07:00:00,1011.0,16.0,103.0,8.0,2020-03-02,07:00:00,3,7,1
25928,6.0,2020-03-02 08:00:00,1012.0,18.0,108.0,8.0,2020-03-02,08:00:00,3,8,1
25929,7.0,2020-03-02 09:00:00,1013.0,20.0,112.0,8.0,2020-03-02,09:00:00,3,9,1
25930,7.0,2020-03-02 10:00:00,1012.0,22.0,144.0,8.0,2020-03-02,10:00:00,3,10,1
25931,8.0,2020-03-02 11:00:00,1012.0,24.0,176.0,8.0,2020-03-02,11:00:00,3,11,1
25932,8.0,2020-03-02 12:00:00,1012.0,24.0,208.0,8.0,2020-03-02,12:00:00,3,12,1
25933,7.0,2020-03-02 13:00:00,1011.0,24.0,231.0,13.0,2020-03-02,13:00:00,3,13,1
25934,5.0,2020-03-02 14:00:00,1010.0,22.0,253.0,17.0,2020-03-02,14:00:00,3,14,1
25935,3.0,2020-03-02 15:00:00,1009.0,22.0,276.0,22.0,2020-03-02,15:00:00,3,15,1
