cloud_cover,time,pressure_kpa,Temperature (C),wind_direction_deg,wind_speed_kmh
3,18/3/2017 0:00,1011,14,307,2
4,18/3/2017 1:00,1011,14,215,2
4,18/3/2017 2:00,1011,14,123,1
4,18/3/2017 3:00,1011,14,31,1
4,18/3/2017 4:00,1011,14,138,1
5,18/3/2017 5:00,1012,16,245,2
5,18/3/2017 6:00,1012,16,352,2
5,18/3/2017 7:00,1013,18,320,3
5,18/3/2017 8:00,1013,18,288,3
4,18/3/2017 9:00,1013,20,256,4
4,18/3/2017 10:00,1012,20,263,7
4,18/3/2017 11:00,1011,20,271,10
4,18/3/2017 12:00,1011,20,278,13
5,18/3/2017 13:00,1010,20,280,11
5,18/3/2017 14:00,1010,20,283,10
5,18/3/2017 15:00,1010,18,285,9
5,18/3/2017 16:00,1010,18,284,9
5,18/3/2017 17:00,1010,16,283,8
5,18/3/2017 18:00,1011,14,283,8
6,18/3/2017 19:00,1011,14,288,8
6,18/3/2017 20:00,1011,14,293,7
7,18/3/2017 21:00,1012,12,298,7
7,18/3/2017 22:00,1011,12,317,6
7,18/3/2017 23:00,1011,12,335,5
7,19/3/2017 0:00,1010,12,354,4
7,19/3/2017 1:00,1011,12,250,3
6,19/3/2017 2:00,1011,10,147,3
6,19/3/2017 3:00,1011,10,44,3
6,19/3/2017 4:00,1011,12,36,3
5,19/3/2017 5:00,1012,14,28,3
5,19/3/2017 6:00,1012,16,20,4
5,19/3/2017 7:00,1012,18,109,5
5,19/3/2017 8:00,1012,22,198,6
5,19/3/2017 9:00,1012,24,287,7
5,19/3/2017 10:00,1011,24,286,11
5,19/3/2017 11:00,1010,24,284,14
4,19/3/2017 12:00,1010,24,282,17
5,19/3/2017 13:00,1009,24,285,15
5,19/3/2017 14:00,1009,22,288,14
5,19/3/2017 15:00,1009,22,291,12
5,19/3/2017 16:00,1009,20,283,10
4,19/3/2017 17:00,1010,16,275,9
3,19/3/2017 18:00,1010,14,268,8
2,19/3/2017 19:00,1010,14,256,7
1,19/3/2017 20:00,1011,14,245,7
0,19/3/2017 21:00,1011,12,234,6
0,19/3/2017 22:00,1011,12,254,6
0,19/3/2017 23:00,1010,12,274,7
0,20/3/2017 0:00,1010,12,295,7
0,20/3/2017 1:00,1010,10,202,6
0,20/3/2017 2:00,1010,10,109,5
0,20/3/2017 3:00,1010,10,17,5
0,20/3/2017 4:00,1011,12,23,5
0,20/3/2017 5:00,1011,14,30,5
0,20/3/2017 6:00,1012,16,37,5
0,20/3/2017 7:00,1012,18,120,5
0,20/3/2017 8:00,1012,22,203,5
0,20/3/2017 9:00,1012,24,287,5
0,20/3/2017 10:00,1011,24,280,9
0,20/3/2017 11:00,1011,24,274,13
0,20/3/2017 12:00,1010,26,267,17
0,20/3/2017 13:00,1010,24,261,15
0,20/3/2017 14:00,1010,22,255,13
0,20/3/2017 15:00,1010,20,248,11
0,20/3/2017 16:00,1010,18,245,10
0,20/3/2017 17:00,1011,16,242,8
0,20/3/2017 18:00,1011,14,239,6
0,20/3/2017 19:00,1011,14,229,7
0,20/3/2017 20:00,1011,14,219,7
0,20/3/2017 21:00,1012,12,209,7
0,20/3/2017 22:00,1011,12,216,6
0,20/3/2017 23:00,1011,12,223,5
0,21/3/2017 0:00,1011,12,231,5
1,21/3/2017 1:00,1011,10,202,4
2,21/3/2017 2:00,1011,10,173,3
4,21/3/2017 3:00,1011,10,144,2
2,21/3/2017 4:00,1011,12,143,2
1,21/3/2017 5:00,1012,14,141,3
0,21/3/2017 6:00,1012,16,140,3
0,21/3/2017 7:00,1012,18,176,4
0,21/3/2017 8:00,1012,20,212,6
0,21/3/2017 9:00,1012,24,248,8
0,21/3/2017 10:00,1012,24,251,11
0,21/3/2017 11:00,1011,24,254,15
0,21/3/2017 12:00,1010,24,257,18
0,21/3/2017 13:00,1010,22,254,16
0,21/3/2017 14:00,1010,22,251,15
0,21/3/2017 15:00,1010,20,248,13
0,21/3/2017 16:00,1011,18,243,12
0,21/3/2017 17:00,1011,16,239,11
0,21/3/2017 18:00,1012,14,235,10
32,21/3/2017 19:00,1012,14,226,8
63,21/3/2017 20:00,1012,14,216,7
95,21/3/2017 21:00,1012,14,207,5
83,21/3/2017 22:00,1012,14,201,6
72,21/3/2017 23:00,1011,14,194,6
